id,show_id,type,title,director,year_film,rating,duration,listed_in,description
2849,80155932,Movie,THE EXCEPTION,David Leveaux,2016,R,107 min,"Dramas, Romantic Movies","During World War II, a Nazi officer charged with protecting an exiled Kaiser Wilhelm II from spies begins a steamy affair with a secretive Dutch maid."
2850,80994020,Movie,THE SON,Sebastián Schindel,2019,TV-MA,93 min,"Dramas, Independent Movies, International Movies","In this psychological thriller, painter Lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son."
2851,80049094,Movie,AMY,Asif Kapadia,2015,R,128 min,"Documentaries, International Movies, Music & Musicals",Rare home videos and interviews with Amy Winehouse's inner circle offer an intimate look at her journey from charismatic teen to troubled star.
2852,80049177,Movie,BARELY LETHAL,Kyle Newman,2015,PG-13,99 min,"Action & Adventure, Comedies",A girl raised to be a government assassin just wants to be a normal teen – so she runs away and pretends to be a high school exchange student.
2853,80025495,Movie,DARK PLACES,Gilles Paquet-Brenner,2015,R,113 min,"Dramas, International Movies, Thrillers","Years after surviving a brutal crime as a child, Libby Day comes to believe that the brother she testified against for committing it may be innocent."
2854,80023689,Movie,EX MACHINA,Alex Garland,2015,R,108 min,"Dramas, Independent Movies, International Movies","A coder at a tech company wins a week-long retreat at the compound of his company's CEO, where he's tasked with testing a new artificial intelligence."
2855,70278930,Movie,MAN OF TAI CHI,Keanu Reeves,2013,R,105 min,"Action & Adventure, Dramas","In this kung fu tale set in Beijing, a young man armed with incomparable martial arts skills gets embroiled in the world of underground fight clubs."
2856,80038337,Movie,MISSISSIPPI GRIND,"Anna Boden, Ryan Fleck",2015,R,109 min,"Dramas, Independent Movies",A gambler mired in debt thinks another cardsharp may just be his good luck charm as the two head for New Orleans to buy into a high-stakes poker game.
2857,80053475,Movie,MOJAVE,William Monahan,2015,R,93 min,"Dramas, Independent Movies, Thrillers",A lethal game of cat and mouse stretches from the desert to Tinseltown after Hollywood bad boy Thomas runs afoul of a cunning and dangerous drifter.
2858,80999986,Movie,PAHUYUT FIGHTING BEAT,Piti Jaturaphat,2007,TV-14,82 min,"Action & Adventure, International Movies","When profit-seekers threaten to take over a bar in a tourist town, local martial artists put their skills to the test and fight back."
2859,80022605,Movie,REMEMBER,Atom Egoyan,2015,R,95 min,"Action & Adventure, Dramas","Following the written instructions of his friend, senile Zev crosses the country to find and murder the Nazi who killed their families in Auschwitz."
2860,80029901,Movie,SLOW WEST,John Maclean,2015,R,84 min,"Action & Adventure, Dramas, International Movies","Determined to find the woman he loves, a Scottish teenager braves the Western frontier of 19th-century America, with bounty hunters hot on his trail."
2861,80037478,Movie,THE END OF THE TOUR,James Ponsoldt,2015,R,106 min,"Dramas, Independent Movies","""Rolling Stone"" reporter David Lipsky shadows famed writer David Foster Wallace in this fictionalized account of their revealing five-day encounter."
2863,80007777,Movie,BANG RAJAN 2,Tanit Jitnukul,2010,TV-MA,122 min,"Action & Adventure, International Movies",A small but fierce group of resistance fighters engages in a brutal battle to protect their village from an army of Burmese invaders.
2864,80999987,Movie,MY TRUE FRIEND,Atsajun Sattakovit,2012,TV-MA,108 min,"Action & Adventure, Dramas, International Movies",A bullied student forms a bond with the leader of a youth gang and discovers the power and meaning of true friendship.
2865,81000015,Movie,OH MY GHOST,Poj Arnon,2009,TV-14,94 min,"Comedies, Horror Movies, International Movies","A group of friends encounters a folk spirit in their apartment, and their harebrained attempts to banish the ghost soon backfire."
2866,80999982,Movie,OH MY GHOST 2,Poj Arnon,2011,TV-MA,103 min,"Comedies, Horror Movies, International Movies","The spirited trio are back to take on a new ghost-busting adventure at a mens' residence, where spooky secrets lurk around every corner."
